LIMIT_BAL,SEX,MARRIAGE,AGE,sept_paystat,aug_paystat,july_paystat,june_paystat,may_paystat,april_paystat,default payment next month,y_predict
20000,2,1,24,2,2,-1,-1,-2,-2,1,1
120000,2,2,26,-1,2,0,0,0,2,1,0
90000,2,2,34,0,0,0,0,0,0,0,1
50000,2,1,37,0,0,0,0,0,0,0,1
50000,1,1,57,-1,0,-1,0,0,0,0,0
50000,1,2,37,0,0,0,0,0,0,0,1
500000,1,2,29,0,0,0,0,0,0,0,1
100000,2,2,23,0,-1,-1,0,0,-1,0,0
140000,2,1,28,0,0,2,0,0,0,0,1
20000,1,2,35,-2,-2,-2,-2,-1,-1,0,0
200000,2,2,34,0,0,2,0,0,-1,0,1
260000,2,2,51,-1,-1,-1,-1,-1,2,0,0
630000,2,2,41,-1,0,-1,-1,-1,-1,0,1
70000,1,2,30,1,2,2,0,0,2,1,1
250000,1,2,29,0,0,0,0,0,0,0,1
50000,2,3,23,1,2,0,0,0,0,0,1
20000,1,2,24,0,0,2,2,2,2,1,1
320000,1,1,49,0,0,0,-1,-1,-1,0,1
360000,2,1,49,1,-2,-2,-2,-2,-2,0,1
180000,2,2,29,1,-2,-2,-2,-2,-2,0,1
130000,2,2,39,0,0,0,0,0,-1,0,1
120000,2,1,39,-1,-1,-1,-1,-1,-1,1,0
70000,2,2,26,2,0,0,2,2,2,1,1
450000,2,1,40,-2,-2,-2,-2,-2,-2,1,0
90000,1,2,23,0,0,0,-1,0,0,0,1
50000,1,2,23,0,0,0,0,0,0,0,1
60000,1,2,27,1,-2,-1,-1,-1,-1,1,1
50000,2,2,30,0,0,0,0,0,0,0,1
50000,2,1,47,-1,-1,-1,-1,-1,-1,0,0
